,keyword,cpc,sv,is_restricted,search_intent_list,kd,ppcd,last_updated_at
59,diy kitchen units,0.33,50,False,['navigational'],12.0,100.0,2026-09-06 14:41:21.549223+00:00
60,melamine doors,0.0,40,False,['informational'],22.0,89.0,2026-09-06 14:42:32.039719+00:00
61,pvc waterproof,1.74,40,False,[],3.622340679168701,89.0,2026-09-06 14:42:01.107694+00:00
62,bathroom storage solutions,0.15,20,False,[],53.35173034667969,100.0,2026-06-02 00:29:29.632165+00:00
63,kitchen storage solutions,0.24,20,False,[],39.6628303527832,100.0,2026-09-06 14:41:49.103695+00:00
64,secure checkout,0.0,20,False,[],3.577460289001465,19.0,2026-09-06 14:41:45.287774+00:00
65,bedroom diy cupboards,0.0,10,False,[],0.0,100.0,2026-09-06 14:41:26.339206+00:00
66,complete installation,0.0,10,False,['informational'],63.0,4.0,2026-09-06 14:41:21.292213+00:00
67,cupboard centre nelspruit,0.0,10,False,[],0.0,45.0,2026-09-06 14:41:09.667177+00:00
68,cupboard delivery,0.0,10,False,[],0.0,19.0,2026-09-06 14:41:12.806055+00:00
69,custom design cupboards,0.0,10,False,[],1.73174250125885,39.0,2026-09-06 14:42:39.276063+00:00
70,diy solutions,0.0,10,False,[],3.2346088886260986,4.0,2026-09-06 14:41:27.505014+00:00
71,diy units,0.0,10,False,['informational'],36.0,62.0,2026-09-06 14:41:22.914059+00:00
72,durable countertops,0.0,10,False,[],41.46268081665039,100.0,2026-09-06 14:41:34.709033+00:00
73,flat panel doors,1.04,10,False,['informational'],29.0,95.0,2026-09-06 14:41:55.552576+00:00
74,floor units,0.0,10,False,[],4.9830145835876465,86.0,2026-09-06 14:41:46.911363+00:00
75,pre assembled bathroom cabinets,0.0,10,False,[],2.293090343475342,100.0,2026-09-06 14:41:58.221865+00:00
76,pre assembled cabinets,3.3,10,False,"['informational', 'commercial']",18.0,100.0,2025-07-28 14:38:06.871706+00:00
77,pre assembled wardrobe,0.0,10,False,[],0.0,100.0,2026-09-06 14:42:11.375590+00:00
78,review items,0.0,10,False,[],39.33715057373047,10.0,2026-09-06 14:41:29.461021+00:00
